,CVD001A,CVD002A,CVD003A,CVD005A,CVD006A,CVD007A,CVD008A,CVD009A,CVD010A,CVD011A,CVD013A,CVD016A,CVD017A,CVD018A,CVD019A,CVD012A,CVD020A,CVD021A,CVD023A
CD41,1.6553465127944946,2.8336539268493652,1.5680567026138306,2.3357760906219482,0.9468725919723511,1.6958098411560059,3.0016098022460938,2.9866249561309814,2.315031051635742,2.558776378631592,3.0987179279327393,2.1266586780548096,2.509122610092163,2.2178304195404053,2.004154682159424,2.348926067352295,1.3257129192352295,2.71976375579834,2.2325663566589355
CD40,0.0,0.0,0.24811871349811554,0.0,0.0,0.0,0.0,0.23654060065746307,0.0,0.2413635551929474,0.26585713028907776,0.17332814633846283,0.02299797348678112,0.0,0.0,0.0,0.0,0.1447073221206665,0.0
CD42b,3.0524985790252686,3.5995495319366455,2.894540786743164,3.6932785511016846,2.4395737648010254,3.1350929737091064,3.4848668575286865,3.707822322845459,3.4553306102752686,3.6756768226623535,4.029261589050293,3.3529140949249268,3.530308485031128,3.239090919494629,3.2356486320495605,3.326913356781006,2.7433419227600098,3.777435302734375,3.080252170562744
CD31,1.963126301765442,2.5431878566741943,1.8244333267211914,2.418612241744995,1.4005073308944702,2.1150732040405273,2.5485966205596924,2.6089770793914795,2.766265392303467,2.915456533432007,3.026575803756714,2.412153482437134,2.3842532634735107,2.349384307861328,2.2879109382629395,2.5429487228393555,1.65142023563385,2.772472381591797,2.242013931274414
CD61,2.137082576751709,3.09999680519104,1.9696067571640015,2.948469400405884,1.399808406829834,2.1720945835113525,3.394728660583496,3.6398303508758545,2.751884937286377,2.9788503646850586,3.3573856353759766,2.6352498531341553,2.872668504714966,2.586226224899292,2.46413516998291,2.6546127796173096,1.710180401802063,3.204200029373169,2.5180282592773438
PAR1,1.1216020584106445,1.2671884298324585,0.889195442199707,1.134290337562561,1.0603039264678955,1.1974389553070068,1.7034457921981812,1.2657437324523926,1.5759968757629395,1.367977499961853,1.3367613554000854,1.3341344594955444,0.9565213918685913,1.2338242530822754,1.369278907775879,1.6566872596740723,1.1717180013656616,1.4304511547088623,1.1125273704528809
CD63,1.8912147283554077,1.592839241027832,1.81362783908844,1.2771105766296387,1.74776029586792,2.219660520553589,1.9117869138717651,1.4009891748428345,2.304645538330078,2.695665121078491,1.7693839073181152,1.8888455629348755,1.2254303693771362,2.382007598876953,1.1682469844818115,2.668173313140869,1.2751917839050293,2.319737195968628,1.7390565872192383
CD107a,0.2707308828830719,0.4523628354072571,0.24895694851875305,0.2712424099445343,0.4860929250717163,0.5885599851608276,0.8652076125144958,0.5100894570350647,0.28097081184387207,0.46776819229125977,0.29107245802879333,0.3531394302845001,0.2513451874256134,0.7058475017547607,0.24331945180892944,0.8988887071609497,0.21383216977119446,0.9798954725265503,0.22237038612365723
CD36,2.619776725769043,3.439302444458008,2.4921486377716064,3.4851531982421875,1.9789247512817383,2.844870090484619,3.9406871795654297,2.3956122398376465,3.473538875579834,3.8198723793029785,3.911879062652588,3.086012125015259,2.8211371898651123,3.1543915271759033,3.0224831104278564,3.352125406265259,2.2393572330474854,3.206698417663574,3.123854875564575
CD45,0.7390955090522766,0.6450467705726624,0.683753252029419,0.5537910461425781,0.5547090768814087,0.7606923580169678,0.8553017973899841,0.5075924396514893,0.7541559934616089,0.8659655451774597,1.1092865467071533,0.4889211058616638,0.40761804580688477,0.5448446273803711,0.5158255696296692,0.7148656845092773,0.3274715840816498,0.6529614329338074,0.5394002199172974
PAC1,4.314550399780273,5.359646320343018,4.167530059814453,5.203742027282715,3.595823287963867,4.409832954406738,5.512307643890381,5.405307769775391,4.9719414710998535,5.134451389312744,5.562577724456787,4.837896347045898,5.018300533294678,4.795047760009766,4.666535377502441,4.997311592102051,4.087324142456055,5.398787498474121,5.190868377685547
CD29,3.545914649963379,4.2039289474487305,3.424806833267212,3.970268726348877,3.0861504077911377,3.822390079498291,4.08091402053833,4.167199611663818,4.401346683502197,4.397326469421387,4.414161205291748,3.78832745552063,3.756943464279175,3.9620838165283203,3.983356475830078,4.260828971862793,3.518733263015747,4.258277893066406,3.7915608882904053
CD62P,3.7997355461120605,4.050668716430664,3.661144495010376,3.41609263420105,3.819636821746826,4.401726722717285,4.892251491546631,4.393722057342529,4.523810863494873,4.68501091003418,4.1727213859558105,4.399571418762207,3.484602689743042,4.107071399688721,3.471874475479126,4.728451728820801,2.977292060852051,4.95205545425415,4.162128925323486
CD69,1.7766389846801758,2.1751205921173096,1.5938345193862915,1.9539812803268433,2.102860927581787,2.367436170578003,2.217801094055176,2.369516611099243,2.331885576248169,2.371816635131836,2.0948095321655273,2.1455376148223877,2.0246734619140625,2.1011836528778076,2.064927339553833,2.340203046798706,2.1277623176574707,2.6934330463409424,2.0153000354766846
CD141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2433956116437912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD154,0.26166853308677673,0.24304217100143433,0.26387709379196167,0.2789575159549713,0.2871983051300049,0.4367913007736206,0.4613303244113922,0.28055238723754883,0.28423917293548584,0.5240020751953125,0.30562007427215576,0.18986164033412933,0.0,0.11177825927734375,0.0,0.29352453351020813,0.0,0.34946197271347046,0.041750721633434296
CD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD9,3.572329521179199,4.3501129150390625,3.393338203430176,4.6243672370910645,3.529630184173584,4.2906270027160645,5.0206475257873535,5.02836275100708,4.696969985961914,4.9062581062316895,5.126514911651611,4.4912109375,4.7318525314331055,4.695644378662109,4.446478366851807,4.786141872406006,3.898582696914673,5.043904781341553,4.3668293952941895
PEAR,1.6621748208999634,1.4336786270141602,1.5060194730758667,1.4004818201065063,1.8623765707015991,1.8391778469085693,1.617637038230896,1.3341866731643677,1.8615590333938599,1.9307745695114136,1.6552971601486206,1.123260498046875,0.6939470171928406,1.452498435974121,1.7572133541107178,2.0256316661834717,1.7662584781646729,1.5393825769424438,1.6674325466156006
GPVI,3.3403780460357666,3.313476324081421,3.1663033962249756,3.109107255935669,3.321974992752075,3.576951026916504,3.3590352535247803,3.3390166759490967,3.390399932861328,3.7350502014160156,3.506110191345215,3.2208049297332764,3.370654582977295,3.4502158164978027,3.593930721282959,3.637338161468506,3.544088125228882,3.4584827423095703,3.4621946811676025
CD47,2.1117756366729736,3.0028393268585205,1.894801378250122,2.9747118949890137,1.511157751083374,2.356994867324829,3.3181140422821045,3.3585124015808105,2.9430949687957764,3.2936604022979736,3.7680578231811523,2.199800729751587,2.7678022384643555,2.829066276550293,2.448397636413574,2.908057451248169,1.7927181720733643,3.0239319801330566,2.3052563667297363
CD42a,3.230043888092041,3.5504188537597656,3.0361921787261963,3.7287702560424805,2.742536783218384,3.3134055137634277,3.357150077819824,3.636592149734497,3.5694262981414795,3.813149929046631,3.8897130489349365,3.5538532733917236,3.4031710624694824,3.144620180130005,3.4207582473754883,3.6640114784240723,3.0672061443328857,3.9928088188171387,3.340904712677002
